numero,nombre,fechaCaducidad,codigoAutorizacion
7077 9348 4144 1082,Jose Lobo Dominguez,10/34,620
4455 4715 0361 2693,Francisco Moreno Gracia,08/34,607
5515 9228 9659 3063,Kate Gonzalez Padro,07/32,972
5545 0982 4324 1883,Benjamin Punset Cozar,02/26,721
5856 8188 1852 6456,Emiliano Reyes Moreno,02/28,013
6316 5455 4905 6706,Jack Reyes Ribas,12/33,524
0451 3954 6836 8388,Clodoveo Marques Morales,06/32,953
8248 1102 0391 3344,Gabriel Reyes Marques,09/34,808
7447 6706 8638 0011,Alfredo Gibson Moss,09/27,245
2883 4695 2163 0652,Gonzalo Avila Cozar,07/33,638
3134 5385 7037 1072,Eva Sparrow Pomares,03/32,749
5585 7927 3694 5205,Luisa Marques San,08/32,561
4685 0241 9138 0261,Alberto Reyes Locke,01/32,112
3714 2003 6776 4605,Clodoveo Linus Morales,05/33,804
9028 3384 2233 7887,Alfredo Reyes Ribera,08/29,201
0621 3294 6136 7357,Enjuto Gracia San,12/33,434
8848 4184 5856 1792,Margarita Coll Poza,07/27,269
9429 2843 5445 7567,Clodoveo Reyes Linus,04/34,059
1542 3484 2553 0591,Alberto Pelaez Pomares,05/28,244
7977 9609 9439 3964,Gabriel Dans Avila,06/28,259
9218 2823 5826 5055,Benjamin Gonzalez Gracia,01/32,757
5235 2083 9989 0191,Gonzalo Linus Martinez,07/29,927
6346 3914 2243 2453,Jack Pelaez Dominguez,01/34,495
1953 8658 0471 5565,Sofia Locke Moss,07/26,956
6656 7497 7737 8097,Luisa Moreno Marques,07/27,756
1592 2713 6356 6186,Randall Narvaez Cozar,08/34,321
9519 2783 4244 2623,Alfredo Pelaez San,06/33,153
7807 8408 1102 1342,Alfredo Narvaez Punset,01/30,837
7727 5565 4605 1142,Kate Martinez Padro,11/34,596
5776 1752 2843 2193,Clodoveo Lopez Argudo,05/32,769
9439 3184 7907 1292,Hugo Reyes Coll,05/33,873
8498 4044 8198 0872,Gabriel Sparrow Sparrow,05/29,957
3884 1852 7197 6236,Jose Torres Vallejo,06/32,892
0491 4955 0782 4995,Jack Torres Argudo,06/33,731
4575 5886 3264 9278,Eva Martinez Gibson,09/32,217
5305 1212 0642 4565,Jose Linus Marques,11/30,430
2523 7677 6546 0221,Jose Morales Marques,02/29,427
0942 8938 2813 5025,Blas Lopez Gibson,09/28,936
5946 7527 3574 3524,Jose Pomares Torres,01/28,290
4535 7997 5605 9769,Margarita Narvaez Ribas,03/29,449
2483 3434 0081 5475,Eva Locke Poza,03/26,980
6626 5996 7307 4825,Sofia Vallejo Gracia,02/26,059
3644 0051 6296 0792,Hugo Gibson San,03/31,418
2373 5425 1362 8618,Francisco Punset Poza,07/27,482
8928 9939 5335 9318,Camilo Narvaez Coll,02/29,062
6376 8458 6636 7537,Clodoveo Padro Dans,10/28,160
1132 8618 7667 4164,Irene Martinez Ribera,11/30,802
1462 4144 4084 9118,Camilo Moss Gracia,05/32,695
4154 1282 5175 1832,Enjuto Padro Dominguez,05/29,399
2733 8678 9749 3644,Randall Pomares Linus,12/27,098
2453 7167 2323 4545,Margarita Gracia Mas,08/33,779
0892 1712 3204 0942,Jack Argudo Lobo,02/27,136
1532 8138 4385 5215,Randall Gibson Moreno,12/29,623
5986 3063 7977 4725,Irene Ribas Coll,08/30,256
5796 8067 7227 3554,Enjuto Pelaez Gonzalez,05/30,121
3204 4775 8107 2903,Enjuto Reyes Punset,04/33,652
0672 4234 9258 8848,Gonzalo Garau Mojamuto,10/31,139
6866 3194 2973 8428,Gabriel Cozar Lopez,03/32,026
3844 3844 4525 2023,Gonzalo Padro San,09/32,682
2303 6897 1582 2943,Emiliano Pelaez Punset,08/31,458
1412 0181 9869 5015,Randall Narvaez Marques,10/29,584
4815 2103 2353 1162,Clodoveo Martinez Dans,03/32,134
5345 2943 4485 2773,Margarita Locke Linus,12/33,028
6706 6977 2773 6957,Clodoveo Cozar Dominguez,02/29,854
8938 8688 6646 5425,Benjamin Poza Gibson,12/29,023
2433 2983 3864 3043,Pedro Mas Narvaez,12/28,973
4054 6666 7107 8458,Emiliano Lopez Morales,04/33,199
8628 1923 4805 8308,Gabriel Torres Avila,09/30,635
7587 2143 9649 3504,Gonzalo Gonzalez Linus,07/30,440
0251 0902 3083 7617,Randall San Pelaez,07/28,730
9979 0692 5405 7897,Kate Mojamuto Poza,01/28,581
7947 4525 9759 6606,Alberto Mas Dans,02/28,932
3514 1872 2053 0151,Luis Pelaez Lobo,10/30,535
0772 9919 1903 3874,Alfredo Poza Martinez,01/32,282
1192 1012 2693 9779,Restituta Poza Argudo,08/28,727
6406 1222 7097 1442,Randall Gracia Martinez,11/33,166
5886 4655 9959 8568,Jack Ribera Pomares,04/29,644
8027 4985 5505 5395,Blas Garau Pomares,06/34,318
7737 8378 2703 6836,Irene Vallejo Narvaez,04/27,998
5575 6626 5265 7917,John Sparrow Vallejo,08/29,401
8978 6196 8678 8077,Blas Mojamuto Narvaez,07/28,257
1872 4645 9459 6776,Benjamin Gracia Torres,04/34,584
23,23,23,23
